year,incumbent_margin,winner_name,incumbent_party,incumbent_name,challenger_name
2016,2.2264397927499857,H. Clinton,Democrat,H. Clinton,Trump
2012,3.929038634461321,Obama,Democrat,Obama,Romney
2008,-7.376688580884178,Obama,Republican,McCain,Obama
2004,2.4882625226211132,GWB,Republican,GWB,Kerry
2000,0.5394560099413184,Gore,Democrat,Gore,GWB
1996,9.470526639605495,B. Clinton,Democrat,B. Clinton,Dole
1992,-6.909838123379771,B. Clinton,Republican,GHWB,B. Clinton
1988,7.803117341144414,GHWB,Republican,GHWB,Dukakis
1984,18.339239486989996,Reagan,Republican,Reagan,Mondale
1980,-10.61068288316649,Reagan,Democrat,Carter,Reagan
1976,-2.10457134465814,Carter,Republican,Ford,Carter
1972,23.572219786106544,Nixon,Republican,Nixon,McGovern
1968,-0.8118927127544566,Nixon,Democrat,Humphrey,Nixon
1964,22.69160478586994,Johnson,Democrat,Johnson,Goldwater
1960,-0.16512281341280755,JFK,Republican,Nixon,JFK
1956,15.503302795348233,Ike,Republican,Ike,Stevenson
1952,-10.903777877322923,Ike,Democrat,Stevenson,Ike
1948,4.739061549483864,Truman,Democrat,Truman,Dewey
