year,ch_rdi
1947,NA
1948,4.4942648592283625
1949,-1.0477996207963276
1950,6.928196853569988
1951,2.4992926530227293
1952,0.4416635995583364
1953,5.084279956027849
1954,-1.9527504140876994
1955,5.112474437627812
1956,3.231263745559127
1957,1.2536873156342183
1958,-1.9988670389253056
1959,4.252683732452518
1960,0.3089108910891089
1961,0.9870499052432091
1962,3.8314176245210727
1963,1.769711574666767
1964,6.089980760692615
1965,3.515379786566227
1966,4.885115558250792
1967,3.6297057689836825
1968,4.035707643667473
1969,1.3466809677034919
1970,3.9981185324553152
1971,3.544776119402985
1972,2.1021021021021022
1973,6.705882352941177
1974,-1.9645183923022953
1975,3.43011961967079
1976,0.10379083675184105
1977,1.584872124024884
1978,4.140947752126367
1979,0.6253791944742615
1980,-1.0760168823338434
1981,1.4721740353509307
1982,2.143880238414268
1983,1.5198805808115077
1984,6.656864055607539
1985,2.9535864978902953
1986,2.426554130822918
1987,-0.12677283891926155
1988,4.803649345497818
1989,1.8205215548238143
1990,1.895769831239313
1991,-1.2403327010068583
1992,2.932919621749409
1993,0.2870882078518625
1994,1.2273670650540327
1995,1.9795680299763159
1996,2.2115151305071232
1997,1.9940990945162276
1998,5.030756442227764
1999,1.7918196783588705
2000,4.13012377931206
2001,1.245445313900006
2002,3.000088498185787
2003,1.0310459388246076
2004,2.6732055788638167
2005,0.7509870509953339
2006,2.83083500041106
2007,1.729559748427673
2008,1.3045870117622402
2009,-1.492074164102299
2010,0.19163122801491048
2011,1.351953258050148
2012,2.8332859395600134
2013,-1.991000276527816
2014,2.880447328596712
2015,3.6948391922213912
2016,0.894402769763416
2017,2.2757601753884282
2018,3.243318809851115
2019,2.6223736769650876
