year,unemployment
1948,3.6
1949,6.2
1950,5.4
1951,3.2
1952,3
1953,2.5
1954,5.6
1955,4.2
1956,4.3
1957,4.3
1958,7.3
1959,5
1960,5.4
1961,6.9
1962,5.5
1963,5.6
1964,5.2
1965,4.6
1966,3.8
1967,3.9
1968,3.7
1969,3.5
1970,4.9
1971,5.9
1972,5.7
1973,4.9
1974,5.4
1975,8.8
1976,7.6
1977,7.2
1978,5.9
1979,5.7
1980,7.6
1981,7.5
1982,9.6
1983,10.1
1984,7.2
1985,7.4
1986,7.2
1987,6.2
1988,5.4
1989,5.3
1990,5.2
1991,6.9
1992,7.8
1993,7
1994,6.1
1995,5.6
1996,5.3
1997,5
1998,4.5
1999,4.3
2000,4
2001,4.5
2002,5.8
2003,6.3
2004,5.6
2005,5
2006,4.6
2007,4.6
2008,5.6
2009,9.5
2010,9.4
2011,9.1
2012,8.2
2013,7.5
2014,6.1
2015,5.3
2016,4.9
2017,4.3
2018,4
2019,3.7
