year,votes_dem,votes_rep,name_dem,short_name_dem,name_rep,short_name_rep,incumbent_party,winning_party
2016,65853652,62985134,Hillary Clinton,H. Clinton,Donald J. Trump,Trump,Democrat,Republican
2012,65918507,60934407,Barack Obama,Obama,Mitt Romney,Romney,Democrat,Democrat
2008,69499428,59950323,Barack Obama,Obama,John McCain,McCain,Republican,Democrat
2004,59027115,62039572,John Kerry,Kerry,George W. Bush,GWB,Republican,Republican
2000,51009810,50462412,Al Gore,Gore,George W. Bush,GWB,Democrat,Republican
1996,47400125,39198755,Bill Clinton,B. Clinton,Bob Dole,Dole,Democrat,Democrat
1992,44909806,39104550,Bill Clinton,B. Clinton,George H. W. Bush,GHWB,Republican,Democrat
1988,41809476,48886597,Michael Dukakis,Dukakis,George H. W. Bush,GHWB,Republican,Republican
1984,37577352,54455472,Walter Mondale,Mondale,Ronald Reagan,Reagan,Republican,Republican
1980,35480115,43903230,Jimmy Carter,Carter,Ronald Reagan,Reagan,Democrat,Republican
1976,40831881,39148634,Jimmy Carter,Carter,Gerald Ford,Ford,Republican,Democrat
1972,29173222,47168710,George McGovern,McGovern,Richard Nixon,Nixon,Republican,Republican
1968,31271839,31783783,Hubert Humphrey,Humphrey,Richard Nixon,Nixon,Democrat,Republican
1964,43129040,27175754,Lyndon Johnson,Johnson,Barry Goldwater,Goldwater,Democrat,Democrat
1960,34220984,34108157,John Kennedy,JFK,Richard Nixon,Nixon,Republican,Democrat
1956,26028028,35579180,Adlai Stevenson,Stevenson,Dwight Eisenhower,Ike,Republican,Republican
1952,27375090,34075529,Adlai Stevenson,Stevenson,Dwight Eisenhower,Ike,Democrat,Republican
1948,24179347,21991292,Harry Truman,Truman,Thomas Dewey,Dewey,Democrat,Democrat
